latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,acq_datetime,cluster,coordinated_flag
17.68204,99.24728,332.24,0.46,0.39,2026-03-29,652,N20,VIIRS,l,2.0NRT,303.73,1.81,D,2026-03-29 06:52:00,0,True
17.68246,97.59495,334.61,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.2,42.1,D,2026-03-29 06:52:00,0,True
17.68284,97.50336,335.6,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,310.16,3.78,D,2026-03-29 06:52:00,0,True
17.70424,98.83213,332.54,0.44,0.38,2026-03-29,652,N20,VIIRS,l,2.0NRT,302.81,4.79,D,2026-03-29 06:52:00,0,True
17.70433,98.45193,337.0,0.42,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,305.5,2.62,D,2026-03-29 06:52:00,0,True
17.71892,98.8346,351.7,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.31,11.1,D,2026-03-29 06:52:00,0,True
17.71902,97.70412,332.61,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,306.47,5.01,D,2026-03-29 06:52:00,0,True
17.7195,98.83879,346.86,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.26,11.64,D,2026-03-29 06:52:00,0,True
17.72302,98.83832,343.24,0.44,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,309.71,11.64,D,2026-03-29 06:52:00,0,True
17.72402,97.51228,332.92,0.4,0.37,2026-03-29,652,N20,VIIRS,l,2.0NRT,307.07,2.19,D,2026-03-29 06:52:00,0,True
17.73239,98.59964,337.32,0.43,0.38,2026-03-29,652,N20,VIIRS,n,2.0NRT,307.01,8.22,D,2026-03-29 06:52:00,0,True
17.74305,99.27632,336.35,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,301.12,5.75,D,2026-03-29 06:52:00,0,True
17.7436,99.28033,340.74,0.46,0.39,2026-03-29,652,N20,VIIRS,n,2.0NRT,301.86,8.56,D,2026-03-29 06:52:00,0,True
