latitude,longitude,burn_count
18.0337,98.8641,3
18.0337,98.8731,1
18.0337,98.9,3
18.0337,98.909,6
18.0337,98.918,5
18.0337,98.927,5
18.0337,98.936,6
18.0337,98.9449,4
18.0337,98.9539,3
18.0337,98.9629,3
18.0337,98.9719,3
18.0337,98.9809,2
18.0337,98.9899,2
18.0337,98.9988,1
18.0337,99.0078,2
18.0337,99.0168,1
18.0337,99.0258,1
18.0337,99.0438,1
18.0337,99.0527,1
18.0337,99.0617,2
18.0337,99.0707,2
18.0337,99.0887,2
18.0337,99.0977,3
18.0337,99.1066,3
18.0337,99.1156,3
18.0337,99.1246,3
18.0337,99.1336,3
18.0337,99.1426,2
18.0337,99.2234,1
18.0337,99.2324,1
18.0337,99.2414,1
18.0337,99.2504,1
18.0337,99.2593,1
18.0337,99.2683,2
18.0337,99.2773,2
18.0337,99.2863,3
18.0337,99.2953,3
18.0337,99.3043,1
18.0337,99.3132,1
18.0337,99.3222,2
18.0337,99.3312,2
18.0337,99.3402,4
18.0337,99.3492,3
18.0337,99.3582,3
18.0337,99.3671,4
18.0337,99.3761,4
18.0337,99.3851,4
18.0337,99.3941,2
18.0337,99.4031,1
18.0337,99.4121,1
18.0337,99.421,1
18.0337,99.43,1
18.0337,99.448,1
18.0337,99.457,1
18.0337,99.466,2
18.0337,99.4749,2
18.0337,99.4839,3
18.0337,99.4929,2
18.0337,99.5019,1
18.0427,98.1993,4
18.0427,98.2083,3
18.0427,98.2173,1
18.0427,98.2263,1
18.0427,98.2353,2
18.0427,98.2443,3
18.0427,98.2532,3
18.0427,98.2622,5
18.0427,98.2712,4
18.0427,98.2802,4
18.0427,98.2892,4
18.0427,98.2981,4
18.0427,98.3071,4
18.0427,98.3161,2
18.0427,98.3251,2
18.0427,98.3341,1
18.0427,98.379,1
18.0427,98.388,1
18.0427,98.397,2
18.0427,98.4059,2
18.0427,98.4149,3
18.0427,98.4239,1
18.0427,98.4329,2
18.0427,98.4419,1
18.0427,98.4509,3
18.0427,98.4598,2
18.0427,98.4688,5
18.0427,98.4778,4
18.0427,98.4868,4
18.0427,98.4958,3
18.0427,98.5048,3
18.0427,98.5137,2
18.0427,98.5317,1
18.0427,98.5407,1
18.0427,98.5497,1
18.0427,98.5946,1
18.0427,98.6036,2
18.0427,98.6126,3
18.0427,98.6215,3
18.0427,98.6305,1
18.0427,98.6395,1
18.0427,98.6844,1
18.0427,98.6934,1
18.0427,98.7024,2
18.0427,98.7114,1
18.0427,98.7204,2
18.0427,98.7293,4
18.0427,98.7383,3
18.0427,98.7473,3
18.0427,98.7563,5
18.0427,98.7653,6
18.0427,98.7743,6
18.0427,98.7832,5
18.0427,98.7922,4
18.0427,98.8192,4
18.0427,98.8282,4
18.0427,98.8371,4
18.0427,98.8461,4
18.0427,98.8551,3
18.0427,98.8641,3
18.0427,98.8731,3
18.0427,98.8821,1
18.0427,98.891,1
18.0427,98.9,4
18.0427,98.909,4
18.0427,98.918,6
18.0427,98.927,4
18.0427,98.936,4
18.0427,98.9449,5
18.0427,98.9539,4
18.0427,98.9629,3
18.0427,98.9719,3
18.0427,98.9809,3
18.0427,98.9899,2
18.0427,98.9988,2
18.0427,99.0078,1
18.0427,99.0168,2
18.0427,99.0258,2
18.0427,99.0348,2
18.0427,99.0438,1
18.0427,99.0527,1
18.0427,99.0617,2
18.0427,99.0707,3
18.0427,99.0797,2
18.0427,99.0977,2
18.0427,99.1066,2
18.0427,99.1156,2
18.0427,99.1246,3
18.0427,99.1336,3
18.0427,99.1426,1
18.0427,99.2504,1
18.0427,99.2593,2
18.0427,99.2683,3
18.0427,99.2773,4
18.0427,99.2863,4
18.0427,99.2953,2
18.0427,99.3043,2
18.0427,99.3132,1
18.0427,99.3222,1
18.0427,99.3312,2
18.0427,99.3402,2
18.0427,99.3492,3
18.0427,99.3582,2
18.0427,99.3671,1
18.0427,99.3761,2
18.0427,99.3851,3
18.0427,99.3941,2
18.0427,99.4031,1
18.0427,99.4121,2
18.0427,99.421,2
18.0427,99.43,1
18.0427,99.439,1
18.0427,99.457,1
18.0427,99.466,1
18.0427,99.4749,2
18.0427,99.4839,2
18.0427,99.4929,1
18.0516,98.1993,4
18.0516,98.2083,2
18.0516,98.2173,2
18.0516,98.2353,1
18.0516,98.2443,4
18.0516,98.2532,2
18.0516,98.2622,3
18.0516,98.2712,6
18.0516,98.2802,6
18.0516,98.2892,5
18.0516,98.2981,5
18.0516,98.3071,4
18.0516,98.379,2
18.0516,98.388,2
18.0516,98.4059,1
18.0516,98.4149,2
18.0516,98.4239,2
18.0516,98.4329,1
18.0516,98.4419,1
18.0516,98.4509,1
18.0516,98.4598,2
18.0516,98.4688,1
18.0516,98.4778,4
18.0516,98.4868,4
18.0516,98.4958,3
18.0516,98.5048,2
18.0516,98.5137,2
18.0516,98.5227,2
18.0516,98.5317,1
18.0516,98.5407,1
18.0516,98.5497,1
18.0516,98.6036,1
18.0516,98.6126,1
18.0516,98.6215,1
18.0516,98.6305,2
18.0516,98.6395,2
18.0516,98.6485,1
18.0516,98.6844,2
18.0516,98.6934,2
18.0516,98.7024,3
18.0516,98.7114,1
18.0516,98.7204,2
18.0516,98.7293,3
18.0516,98.7383,3
18.0516,98.7473,3
18.0516,98.7563,5
18.0516,98.7653,5
18.0516,98.7743,5
18.0516,98.7832,5
18.0516,98.7922,4
18.0516,98.8012,3
18.0516,98.8282,5
18.0516,98.8371,5
18.0516,98.8461,4
18.0516,98.8551,4
18.0516,98.8641,2
18.0516,98.8731,2
18.0516,98.8821,2
18.0516,98.891,1
18.0516,98.9,1
18.0516,98.909,4
18.0516,98.918,4
18.0516,98.927,4
18.0516,98.936,1
18.0516,98.9449,1
18.0516,98.9539,2
18.0516,98.9629,2
18.0516,98.9719,2
18.0516,98.9988,1
18.0516,99.0078,1
18.0516,99.0168,1
18.0516,99.0258,1
18.0516,99.0348,1
18.0516,99.0438,1
18.0516,99.0527,1
18.0516,99.0617,1
18.0516,99.0707,1
18.0516,99.0887,2
18.0516,99.0977,3
18.0516,99.1066,3
18.0516,99.1156,2
18.0516,99.1246,2
18.0516,99.1336,2
18.0516,99.1426,2
18.0516,99.2683,1
18.0516,99.2773,1
18.0516,99.2863,3
18.0516,99.2953,3
18.0516,99.3043,2
18.0516,99.3132,1
18.0516,99.3222,2
18.0516,99.3312,2
18.0516,99.3402,3
18.0516,99.3492,2
18.0516,99.3582,3
18.0516,99.3671,4
18.0516,99.3761,4
18.0516,99.3851,3
18.0516,99.3941,2
18.0516,99.4031,1
18.0516,99.4121,1
18.0516,99.421,1
18.0516,99.43,1
18.0516,99.439,1
18.0516,99.4839,1
18.0516,99.4929,1
18.0516,99.5019,1
18.0606,98.1993,3
18.0606,98.2083,2
18.0606,98.2173,1
18.0606,98.2353,1
18.0606,98.2443,3
18.0606,98.2532,4
18.0606,98.2622,3
18.0606,98.2712,5
18.0606,98.2802,6
18.0606,98.2892,6
18.0606,98.2981,3
18.0606,98.3071,3
18.0606,98.3161,2
18.0606,98.3251,2
18.0606,98.3341,2
18.0606,98.3431,2
18.0606,98.352,2
18.0606,98.361,2
18.0606,98.37,2
18.0606,98.388,1
18.0606,98.397,1
18.0606,98.4059,1
18.0606,98.4149,2
18.0606,98.4239,4
18.0606,98.4329,5
18.0606,98.4419,5
18.0606,98.4509,3
18.0606,98.4598,4
18.0606,98.4688,2
18.0606,98.4778,2
18.0606,98.4868,2
18.0606,98.4958,3
18.0606,98.5048,3
18.0606,98.5137,3
18.0606,98.5227,2
18.0606,98.5317,2
18.0606,98.5407,2
18.0606,98.5497,1
18.0606,98.5766,1
18.0606,98.5856,1
18.0606,98.5946,1
18.0606,98.6215,5
18.0606,98.6305,7
18.0606,98.6395,7
18.0606,98.6485,2
18.0606,98.6575,1
18.0606,98.6844,1
18.0606,98.6934,2
18.0606,98.7024,2
18.0606,98.7114,2
18.0606,98.7204,1
18.0606,98.7293,2
18.0606,98.7383,3
18.0606,98.7473,3
18.0606,98.7563,4
18.0606,98.7653,4
18.0606,98.7743,5
18.0606,98.7832,6
18.0606,98.7922,6
18.0606,98.8012,4
18.0606,98.8192,2
18.0606,98.8282,4
18.0606,98.8371,4
18.0606,98.8461,4
18.0606,98.8551,1
18.0606,98.8641,2
18.0606,98.8731,2
18.0606,98.8821,2
18.0606,98.891,1
18.0606,98.9,2
18.0606,98.909,5
18.0606,98.918,5
18.0606,98.927,4
18.0606,98.936,1
18.0606,98.9539,2
18.0606,98.9629,4
18.0606,98.9719,4
18.0606,98.9809,2
18.0606,99.0348,1
18.0606,99.0438,1
18.0606,99.0527,1
18.0606,99.0617,1
18.0606,99.0707,1
18.0606,99.0797,1
18.0606,99.0887,1
18.0606,99.0977,2
18.0606,99.1066,3
18.0606,99.1156,4
18.0606,99.1246,3
18.0606,99.1336,3
18.0606,99.1426,2
18.0606,99.1515,1
18.0606,99.2414,1
18.0606,99.2504,1
18.0606,99.2683,2
18.0606,99.2773,3
18.0606,99.2863,5
18.0606,99.2953,3
18.0606,99.3043,1
18.0606,99.3132,1
18.0606,99.3312,1
18.0606,99.3402,1
18.0606,99.3492,2
18.0606,99.3582,2
18.0606,99.3671,3
18.0606,99.3761,4
18.0606,99.3851,5
18.0606,99.3941,4
18.0606,99.4031,4
18.0606,99.4121,1
18.0606,99.421,1
18.0606,99.43,1
18.0606,99.439,1
18.0606,99.448,1
18.0606,99.4929,1
18.0606,99.5019,2
18.0696,98.1993,2
18.0696,98.2083,2
18.0696,98.2173,1
18.0696,98.2263,2
18.0696,98.2353,1
18.0696,98.2443,1
